"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Dec 26 12:08:58 UTC 2023","Tue Dec 26 12:08:58 UTC 2023","0","","Make chain! variable presence","","Make chain! variable presence","object chainMaker exists","object chainMaker exists",""
"passed","Tue Dec 26 12:08:58 UTC 2023","Tue Dec 26 12:08:58 UTC 2023","0","","Transform array functional requirements","","Transform array functional requirements","basic sequence interactions work well","basic sequence interactions work well",""
"passed","Tue Dec 26 12:08:58 UTC 2023","Tue Dec 26 12:08:58 UTC 2023","0","","Extended repeater base & functional requirements","","Extended repeater base & functional requirements","supports missing repeat counters","supports missing repeat counters",""
"passed","Tue Dec 26 12:08:57 UTC 2023","Tue Dec 26 12:08:57 UTC 2023","0","","Count cats! base requirements","","Count cats! base requirements","level 0.2","level 0.2",""
"passed","Tue Dec 26 12:08:58 UTC 2023","Tue Dec 26 12:08:58 UTC 2023","0","","Vigenere cipher base requirements","","Vigenere cipher base requirements","base decryption","base decryption",""
"passed","Tue Dec 26 12:08:58 UTC 2023","Tue Dec 26 12:08:58 UTC 2023","12","","Transform array functional requirements","","Transform array functional requirements","doesn't affect simple arrays","doesn't affect simple arrays",""
"passed","Tue Dec 26 12:08:57 UTC 2023","Tue Dec 26 12:08:57 UTC 2023","0","","Count cats! base requirements","","Count cats! base requirements","level 0.1","level 0.1",""
"passed","Tue Dec 26 12:08:58 UTC 2023","Tue Dec 26 12:08:58 UTC 2023","0","","What season base requirements","","What season base requirements","corretly handles argument absence","corretly handles argument absence",""
"passed","Tue Dec 26 12:08:57 UTC 2023","Tue Dec 26 12:08:57 UTC 2023","1","","Carbon dating variable presence","","Carbon dating variable presence","function dateSample exists","function dateSample exists",""
"passed","Tue Dec 26 12:08:58 UTC 2023","Tue Dec 26 12:08:58 UTC 2023","1","","Matrix elements sum","","Matrix elements sum","should return the sum of the matrix elements that are not below 0","should return the sum of the matrix elements that are not below 0",""
"passed","Tue Dec 26 12:08:58 UTC 2023","Tue Dec 26 12:08:58 UTC 2023","1","","Delete digit","","Delete digit","should return the maximal number you can obtain by deleting exactly one digit of the given number","should return the maximal number you can obtain by deleting exactly one digit of the given number",""
"passed","Tue Dec 26 12:08:58 UTC 2023","Tue Dec 26 12:08:58 UTC 2023","1","","DNS stats","","DNS stats","should return domains stats","should return domains stats",""
"passed","Tue Dec 26 12:08:58 UTC 2023","Tue Dec 26 12:08:58 UTC 2023","1","","What season base requirements","","What season base requirements","some pack of tests","some pack of tests",""
